	parent	trade_efficiency	profit	avg_float_parent	sales	trade_cost	weights	outcome_sum	outcome_prices	outcome_names
561	StatTrak™ CZ75-Auto | Tigris (Field-Tested)	0.409	17.03	0.21	1	41.6	0.0151	58.63	70.2,90.675,15.015	StatTrak™ Glock-18 | Water Elemental (Minimal Wear),StatTrak™ Desert Eagle | Conspiracy (Factory New),StatTrak™ Five-SeveN | Fowl Play (Field-Tested)
338	MP9 | Goo (Field-Tested)	0.409	5.271	0.175	1	12.9	0.0047	18.171	14.918,9.565,30.03	R8 Revolver | Llama Cannon (Minimal Wear),PP-Bizon | High Roller (Field-Tested),M4A1-S | Leaded Glass (Minimal Wear)
43	StatTrak™ Nova | Clear Polymer (Battle-Scarred)	0.409	11.071	0.405	1	27.1	0.0098	38.171	31.678,42.802,40.034	StatTrak™ M4A4 | Cyber Security (Well-Worn),StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),StatTrak™ USP-S | Monster Mashup (Field-Tested)
34	StatTrak™ Dual Berettas | Dezastre (Field-Tested)	0.406	17.053	0.21	1	42.0	0.0151	59.053000000000004	37.83,42.802,96.525	StatTrak™ M4A4 | Cyber Security (Field-Tested),StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),StatTrak™ USP-S | Monster Mashup (Minimal Wear)
158	StatTrak™ M249 | Aztec (Field-Tested)	0.405	17.116	0.175	1	42.3	0.0152	59.416000000000004	29.133,96.466,52.65	StatTrak™ MP9 | Hydra (Field-Tested),StatTrak™ AUG | Death by Puppy (Factory New),StatTrak™ P90 | Nostalgia (Minimal Wear)
259	StatTrak™ FAMAS | Eye of Athena (Minimal Wear)	0.40399999999999997	237.65599999999998	0.085	1	588.9	0.2104	826.556	1311.862,341.25	StatTrak™ AK-47 | Neon Rider (Factory New),StatTrak™ Desert Eagle | Code Red (Minimal Wear)
132	StatTrak™ MP9 | Hydra (Field-Tested)	0.402	120.09899999999999	0.2	1	298.8	0.1063	418.899	682.305,155.493	StatTrak™ AWP | Wildfire (Minimal Wear),StatTrak™ FAMAS | Commemoration (Minimal Wear)
92	StatTrak™ MP5-SD | Kitbash (Field-Tested)	0.39799999999999996	15.456	0.195	1	38.8	0.0137	54.256	57.466,58.5,46.8	StatTrak™ XM1014 | Entombed (Minimal Wear),StatTrak™ Glock-18 | Vogue (Minimal Wear),StatTrak™ M4A4 | Tooth Fairy (Minimal Wear)
495	StatTrak™ P90 | Shapewood (Field-Tested)	0.397	75.444	0.175	1	190.0	0.0668	265.444	305.175,225.713	StatTrak™ M4A4 | Royal Paladin (Minimal Wear),StatTrak™ R8 Revolver | Fade (Factory New)
266	StatTrak™ CZ75-Auto | Eco (Field-Tested)	0.39399999999999996	20.167	0.185	1	51.2	0.0179	71.367	101.4,55.282,57.418	StatTrak™ M4A1-S | Nightmare (Field-Tested),StatTrak™ Sawed-Off | Devourer (Minimal Wear),StatTrak™ FAMAS | Eye of Athena (Minimal Wear)
461	StatTrak™ MAC-10 | Carnivore (Well-Worn)	0.392	2.7460000000000004	0.995	1	7.0	0.0024	9.746	29.932,4.114,3.022,4.972,6.689	StatTrak™ AWP | Phobos (Well-Worn),StatTrak™ R8 Revolver | Reboot (Battle-Scarred),StatTrak™ Sawed-Off | Limelight (Battle-Scarred),StatTrak™ AUG | Aristocrat (Battle-Scarred),StatTrak™ P90 | Chopper (Battle-Scarred)
521	MAC-10 | Rangeen (Minimal Wear)	0.392	4.037	0.075	1	10.3	0.0036	14.337	19.529,17.433,7.927,12.46	Galil AR | Stone Cold (Factory New),P250 | Wingshot (Factory New),M249 | Nebula Crusader (Minimal Wear),MP7 | Special Delivery (Factory New)
514	StatTrak™ MAG-7 | Cobalt Core (Minimal Wear)	0.389	11.735	0.075	1	30.2	0.0104	41.935	63.268,47.668,20.436,36.367	StatTrak™ Galil AR | Stone Cold (Factory New),StatTrak™ P250 | Wingshot (Factory New),StatTrak™ M249 | Nebula Crusader (Minimal Wear),StatTrak™ MP7 | Special Delivery (Factory New)
20	StatTrak™ M4A4 | Cyber Security (Battle-Scarred)	0.387	92.12700000000001	0.445	1	238.3	0.0816	330.42699999999996	584.512,76.343	StatTrak™ M4A1-S | Printstream (Field-Tested),StatTrak™ Glock-18 | Neo-Noir (Well-Worn)
166	StatTrak™ AUG | Momentum (Minimal Wear)	0.385	266.29400000000004	0.085	1	691.4	0.2358	957.694	1780.253,135.135	StatTrak™ M4A4 | The Emperor (Factory New),StatTrak™ Five-SeveN | Angry Mob (Factory New)
190	StatTrak™ MAG-7 | SWAG-7 (Field-Tested)	0.385	7.965	0.23	1	20.7	0.0071	28.665	24.96,26.13,34.905	StatTrak™ USP-S | Cortex (Field-Tested),StatTrak™ AUG | Stymphalian (Minimal Wear),StatTrak™ AWP | Mortis (Minimal Wear)
541	StatTrak™ UMP-45 | Delusion (Minimal Wear)	0.382	15.46	0.085	1	40.5	0.0137	55.96	60.255,123.708,14.625,25.252	StatTrak™ M4A4 | Griffin (Factory New),StatTrak™ M4A1-S | Basilisk (Factory New),StatTrak™ Sawed-Off | Highwayman (Minimal Wear),StatTrak™ Glock-18 | Grinder (Factory New)
520	StatTrak™ XM1014 | Scumbria (Field-Tested)	0.382	5.461	0.165	1	14.3	0.0048	19.761	26.998,21.44,10.813,19.793	StatTrak™ Galil AR | Stone Cold (Minimal Wear),StatTrak™ P250 | Wingshot (Minimal Wear),StatTrak™ M249 | Nebula Crusader (Field-Tested),StatTrak™ MP7 | Special Delivery (Minimal Wear)
256	StatTrak™ Sawed-Off | Devourer (Field-Tested)	0.38	111.844	0.185	1	294.0	0.099	405.844	583.05,228.637	StatTrak™ AK-47 | Neon Rider (Minimal Wear),StatTrak™ Desert Eagle | Code Red (Field-Tested)
24	StatTrak™ Five-SeveN | Fairy Tale (Field-Tested)	0.376	165.012	0.185	1	439.0	0.1461	604.012	1101.263,106.763	StatTrak™ M4A1-S | Printstream (Minimal Wear),StatTrak™ Glock-18 | Neo-Noir (Field-Tested)
264	StatTrak™ CZ75-Auto | Eco (Minimal Wear)	0.373	41.20399999999999	0.085	1	110.6	0.0365	151.804	204.75,129.772,120.89	StatTrak™ M4A1-S | Nightmare (Minimal Wear),StatTrak™ Sawed-Off | Devourer (Factory New),StatTrak™ FAMAS | Eye of Athena (Factory New)
524	StatTrak™ Negev | Loudmouth (Field-Tested)	0.37200000000000005	16.949	0.215	1	45.6	0.015	62.549	41.613,29.152,116.883	StatTrak™ SG 553 | Cyrex (Field-Tested),StatTrak™ CZ75-Auto | Yellow Jacket (Field-Tested),StatTrak™ MP7 | Nemesis (Factory New)
390	StatTrak™ MP7 | Akoben (Field-Tested)	0.37	2.702	0.27	1	7.3	0.0024	10.002	6.24,11.992,9.506,10.676,11.593	StatTrak™ UMP-45 | Scaffold (Field-Tested),StatTrak™ Galil AR | Crimson Tsunami (Minimal Wear),StatTrak™ M249 | Emerald Poison Dart (Minimal Wear),StatTrak™ XM1014 | Seasons (Minimal Wear),StatTrak™ MAC-10 | Last Dive (Minimal Wear)
397	StatTrak™ P250 | Ripple (Field-Tested)	0.37	2.702	0.27	1	7.3	0.0024	10.002	6.24,11.992,9.506,10.676,11.593	StatTrak™ UMP-45 | Scaffold (Field-Tested),StatTrak™ Galil AR | Crimson Tsunami (Minimal Wear),StatTrak™ M249 | Emerald Poison Dart (Minimal Wear),StatTrak™ XM1014 | Seasons (Minimal Wear),StatTrak™ MAC-10 | Last Dive (Minimal Wear)
76	StatTrak™ MAG-7 | Monster Call (Field-Tested)	0.37	14.655999999999999	0.195	1	39.6	0.013000000000000001	54.256	57.466,58.5,46.8	StatTrak™ XM1014 | Entombed (Minimal Wear),StatTrak™ Glock-18 | Vogue (Minimal Wear),StatTrak™ M4A4 | Tooth Fairy (Minimal Wear)
99	MAG-7 | Justice (Field-Tested)	0.364	32.388000000000005	0.175	1	89.0	0.0287	121.38799999999999	40.95,201.825	Glock-18 | Bullet Queen (Field-Tested),M4A1-S | Player Two (Minimal Wear)
260	StatTrak™ FAMAS | Eye of Athena (Field-Tested)	0.36200000000000004	107.944	0.185	1	297.9	0.0956	405.844	583.05,228.637	StatTrak™ AK-47 | Neon Rider (Minimal Wear),StatTrak™ Desert Eagle | Code Red (Field-Tested)
